id,name,location,pincode,O_pos,O_neg,A_pos,A_neg,B_pos,B_neg,AB_pos,AB_neg,Total_Units,Temperature,Weather,Rain_mm,Size,Altitude
157,Chord Road Hospital Pvt Ltd,"12.998121, 77.540484",560079,234,38,59,79,215,8,89,73,795,30.5,Partly cloudy,0.0,Large,925.0
158,Pristline Hospital,"12.997893, 77.543613",560079,272,126,195,98,173,112,147,25,1148,30.4,Partly cloudy,0.0,Large,932.0
159,Manipal Northside Hospital,"13.001128, 77.563929",560003,333,353,217,286,351,149,232,199,2120,30.9,Partly cloudy,0.0,Big,919.0
160,Mallya Audikesh Diagnostics Center,"12.981505, 77.601194",560001,290,132,356,241,290,92,298,190,1889,30.8,Partly cloudy,0.0,Big,927.0
161,Mallige Medical Centre,"12.985247, 77.580385",560001,0,0,0,0,0,0,0,0,0,30.9,Partly cloudy,0.0,Big,923.0
162,Government Maternity Hospital,"12.998860, 77.581742",Unknown,340,133,273,189,225,223,150,191,1724,30.9,Partly cloudy,0.0,Medium,915.0
163,Soujanya Clinic,"12.968119, 77.543250",Unknown,0,0,10,0,0,9,0,0,19,30.8,Partly cloudy,0.0,Small,876.0
164,Hospital,"13.004364, 77.565296",Unknown,155,10,74,15,94,10,4,0,362,30.8,Partly cloudy,0.0,Large,940.0
165,Suprabha Hospital,"13.007938, 77.546906",Unknown,374,270,282,252,349,103,197,175,2002,30.4,Partly cloudy,0.0,Large,932.0
166,Sangolli Nursing Home,"13.008356, 77.546927",Unknown,121,30,106,47,193,17,148,31,693,30.5,Partly cloudy,0.0,Medium,929.0
167,Diacon Hospital,"13.003768, 77.549834",560010,284,71,156,83,283,28,85,135,1125,30.5,Partly cloudy,0.0,Large,918.0
168,Namratha Hospital,"13.004786, 77.543073",Unknown,139,0,0,0,133,0,13,4,289,30.6,Partly cloudy,0.0,Large,903.0
170,Fortis Hospital,"13.002241, 77.549088",560086,88,0,0,0,46,5,10,0,149,30.6,Partly cloudy,0.0,Large,914.0
171,Citi Hospital,"12.995651, 77.551070",560010,221,74,116,32,258,40,57,61,859,30.6,Partly cloudy,0.0,Large,913.0
172,"Vasan Eye Care Hospital, Rajaji Nagar","12.999522, 77.550533",560010,277,213,319,106,263,227,180,162,1747,30.5,Partly cloudy,0.0,Big,923.0
173,Ananya Hospital,"12.999821, 77.550450",560010,43,5,0,0,0,0,0,0,48,30.5,Partly cloudy,0.0,Large,923.0
174,Baptist,"12.997091, 77.571977",Unknown,47,10,74,0,104,71,0,0,306,30.9,Partly cloudy,0.0,Big,915.0
